id,city,stateOrProvince,bathrooms,bedrooms,listPrice,livingArea,yearBuilt,propertySubType,listingCategory,numParkingSpaces,photoscount,grade
1921938,Palm Springs,1008,4,3,979000,2182,1955,10,1,,35,awesome
1918246,Rockland,1039,2,3,359900,1576,2005,70,1,2,29,awesome
1916927,Longboat Key,1001,2,2,549000,1503,1981,20,1,,25,good
1915363,Muncie,1010,2,4,9900,1832,1908,10,1,,2,bad
1910805,Sparta,1000,2,3,145500,1714,1992,10,1,2,30,awesome
1910044,Louisville,1012,3,4,380000,3999,1991,10,1,2,61,awesome
1909718,SPANISH FORT,1002,3,4,314900,2544,2011,10,1,,34,awesome
1909447,Marietta,1013,3,4,289000,2815,1989,10,1,,36,awesome
1909393,Powder Springs,1013,2,3,139900,1395,1969,10,1,,33,awesome
1909201,Newnan,1013,4,3,364900,2252,2015,10,1,,36,awesome
1909089,Rio Rancho,1038,2,3,168000,1610,2004,10,1,2,31,awesome
1907923,Campton,1012,2,3,30900,1075,1111,10,1,,23,good
1906606,Wildwood Crest,1032,3,4,514000,,2010,20,1,2,23,good
1906592,Wadesboro,1014,2,3,45000,2012,1930,10,1,,29,awesome
1900033,Sun City West,1015,3,2,220000,1438,1995,10,1,,29,awesome
1893190,JACKSONVILLE,1001,1,3,24999,1639,1949,10,1,,7,good
1892390,SPRING HILL,1001,1,2,99900,968,1977,10,1,,35,awesome
1863489,San Antonio,1005,2,3,1200,1083,2007,10,2,,16,good
1855909,SARASOTA,1001,2,2,147900,1197,1982,50,1,1,7,good
1853137,Jenison,1027,2,3,199900,2171,1966,10,1,2,29,awesome
1845663,Henderson,1003,2,3,215000,1330,2004,20,1,,29,awesome
1845647,Henderson,1003,2,3,1650,1034,1994,50,2,,29,awesome
1845278,McDonough,1013,3,4,214900,2200,1992,10,1,,31,awesome
1845268,Canton,1013,2,2,259900,0,2005,10,1,,36,awesome
1845262,Acworth,1013,5,5,450000,0,1993,10,1,,36,awesome
1843634,Bermuda Dunes,1008,3,3,319000,2280,1979,20,1,3,29,awesome
1843049,LIVERMORE,1008,2,3,760000,1200,1963,10,1,2,33,awesome
1829882,Los Angeles (City),1008,8,7,35000,6970,1949,10,2,9,35,awesome
1820742,Waterboro,1021,1,3,219000,,1973,10,1,,22,good
1819599,CLERMONT,1001,3,4,330000,2757,1995,10,1,3,29,awesome
1801836,Pikeville,1012,2,3,95000,1277,1988,10,1,,15,good
1788307,McDonough,1013,3,4,320500,3078,2016,10,1,,29,awesome
1784979,Seneca,1031,2,3,217900,,,10,1,,43,awesome
1784974,Anderson,1031,3,4,165000,,,10,1,,36,awesome
1784970,Anderson,1031,2,3,127500,,,10,1,,43,awesome
1784433,Kevil,1012,2,3,184900,2077,,10,1,3,29,good
1783731,Visalia,1008,3,3,395000,2623,2003,10,1,3,45,awesome
1783723,Visalia,1008,2,3,249900,1649,1996,10,1,3,30,awesome
1783244,Lyman,1031,2,4,194900,1999,2006,10,1,2,33,awesome
1782074,Enfield,1014,2,4,74500,1925,1930,10,1,,28,awesome
1781834,Vancouver,1037,3,4,369900,2103,1987,10,1,,32,awesome
1775495,ELGIN,1022,0,4,189900,,,30,1,,10,good
1772303,Miami,1001,2,2,3400,,2007,20,2,1,16,good
1771016,Kansas City,1000,3,3,185000,,1989,10,1,2,29,awesome
1769619,Atlanta,1013,2,4,375000,0,1955,10,1,,36,good
1765880,Lake Havasu City,1015,2,3,224900,1176,1980,10,1,,38,awesome
1763082,Myrtle Beach,1031,3,3,2200,,2017,50,2,,36,good
1754430,ST PETERSBURG,1001,2,2,210000,1148,1955,10,1,1,29,awesome
1754329,Yukon,1019,3,4,259000,2280,2011,10,1,,29,awesome
1752268,ST PETERSBURG,1001,2,2,210000,1148,1955,10,1,1,29,awesome
1749576,Fort Walton Beach,1001,2,3,1250,1339,2004,70,2,2,11,good
1746978,Topeka,1011,3,3,215000,2159,1988,10,1,,29,awesome
1741663,Eastlake,1018,2,3,154900,,1954,10,1,2,16,good
1741090,Big Bear,1008,2,2,279000,1112,1981,10,1,0,20,good
1740192,Merrick,1007,4,4,622500,2240,1949,10,1,,16,good
1737788,LEXINGTON PARK,1047,3,4,1575,,1989,10,1,,0,bad
1732958,Charlotte,1014,5,5,600000,5509,1988,10,1,2,34,good
